"species","in_M","in_L","in_D","in_C","n_spaces","category","excl_space"
"4148",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1317",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3946",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4159",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1602",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1700",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"6489",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7751",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7249",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1553",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"6362",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4156",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5570",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"470",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2131",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"6056",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"4158",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1992",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3934",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2003",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4162",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"7708",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"2483",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3356",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3373",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"1386",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1052",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"435",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5566",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7724",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"1703",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3790",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6366",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5572",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"683",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7247",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3950",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4155",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7750",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1607",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7705",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"4164",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1170",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7075",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5064",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6364",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1363",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1698",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7400",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"3945",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1445",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"692",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4161",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"986",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6255",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"7399",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4561",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"7647",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1012",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1163",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"276",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7076",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"2115",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1049",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3409",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1009",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7726",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1107",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1710",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5657",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"2482",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5585",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1000",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1067",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6052",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7037",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7248",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1060",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"3140",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1609",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"988",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7727",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"2806",TRUE,FALSE,FALSE,FALSE,1,"exclusive","M"
"3192",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"5676",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"425",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7728",TRUE,TRUE,FALSE,FALSE,2,"shared",NA
"4912",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"1605",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"426",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5687",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
